,platform,read_queries,write_queries,other_queries,total_queries,transactions,latency_min,latency_max,latency_avg,time_total
559,kvm,45360,18144,9072,72576,4536,68.11,1262.91,309.66,20.2718
560,kvm,0,8544,4272,12816,2136,31.82,266.82,93.78,20.0921
561,kvm,0,13632,6816,20448,3408,30.4,457.85,117.93,20.1658
562,kvm,0,17672,8836,26508,4418,32.79,622.65,136.11,20.1257
563,kvm,0,20592,10296,30888,5148,44.58,570.83,155.92,20.1642
564,kvm,0,25172,12586,37758,6293,38.12,757.12,159.63,20.2225
565,kvm,0,26648,13324,39972,6662,44.3,844.97,180.86,20.2796
566,kvm,0,27012,13506,40518,6753,36.72,1130.52,207.82,20.2754
567,kvm,0,7936,3968,11904,1984,27.72,316.42,101.07,20.1593
568,kvm,0,13708,6854,20562,3427,35.87,393.0,117.16,20.1678
569,kvm,0,17252,8626,25878,4313,38.59,538.53,139.52,20.1275
570,kvm,0,21272,10636,31908,5318,38.75,690.14,150.94,20.1986
571,kvm,0,23200,11600,34800,5800,44.47,602.57,173.99,20.4049
572,kvm,0,26408,13372,39780,6630,41.02,873.09,181.99,20.2848
573,kvm,0,27360,13680,41040,6840,50.02,952.06,206.01,20.3524
574,kvm,0,8132,4066,12198,2033,29.15,333.78,98.63,20.0894
575,kvm,0,13720,6860,20580,3430,32.68,466.13,116.78,20.1092
576,kvm,0,18072,9036,27108,4518,36.95,573.43,132.95,20.1156
577,kvm,0,20604,10302,30906,5151,32.51,563.19,155.63,20.1256
578,kvm,0,23482,11906,35388,5898,43.38,669.9,170.89,20.3105
579,kvm,0,26512,13256,39768,6628,49.81,786.82,181.62,20.2641
580,kvm,0,26494,13382,39876,6646,34.12,939.74,211.86,20.3501
581,kvm,0,7840,3920,11760,1960,29.72,400.69,102.23,20.079
582,kvm,0,13972,6986,20958,3493,33.64,414.35,115.22,20.1952
583,kvm,0,17260,8630,25890,4315,32.36,682.54,139.56,20.1698
584,kvm,0,21808,10904,32712,5452,31.48,537.58,147.64,20.2451
585,kvm,0,24596,12298,36894,6149,46.05,763.4,163.57,20.2615
586,kvm,0,26713,13523,40236,6706,39.26,653.79,179.99,20.2752
587,kvm,0,28264,14282,42546,7091,41.84,880.56,198.58,20.359
588,kvm,0,8292,4146,12438,2073,34.78,321.11,96.63,20.0718
589,kvm,0,14128,7064,21192,3532,38.64,447.37,113.41,20.1217
590,kvm,0,18440,9220,27660,4610,39.38,560.84,130.38,20.1102
591,kvm,0,20880,10440,31320,5220,35.95,810.16,153.67,20.1594
592,kvm,0,24376,12188,36564,6094,33.48,675.48,165.02,20.2592
593,kvm,0,25840,12920,38760,6460,40.34,851.92,186.94,20.3013
594,kvm,0,28788,14394,43182,7197,43.76,911.84,195.34,20.2939
595,kvm,0,8440,4220,12660,2110,34.47,337.36,94.94,20.1131
596,kvm,0,14504,7252,21756,3626,33.59,424.73,110.58,20.1146
597,kvm,0,18716,9358,28074,4679,26.64,550.05,128.78,20.1652
598,kvm,0,21440,10720,32160,5360,43.05,521.3,150.05,20.2366
599,kvm,0,23308,11654,34962,5827,31.1,654.16,172.5,20.2622
600,kvm,0,26192,13096,39288,6548,36.92,924.87,184.24,20.3019
601,kvm,0,28484,14242,42726,7121,48.68,824.96,197.92,20.3562
602,kvm,0,8248,4124,12372,2062,31.21,435.07,97.17,20.0807
603,kvm,0,13712,6856,20568,3428,25.98,466.05,116.81,20.0923
604,kvm,0,17689,9065,26754,4459,32.44,480.84,134.82,20.1272
605,kvm,0,21952,10976,32928,5488,26.75,581.02,146.06,20.1424
606,kvm,0,24262,12314,36576,6096,35.12,587.35,164.76,20.231
607,kvm,0,26584,13292,39876,6646,31.19,710.58,181.33,20.2697
608,kvm,0,27193,13739,40932,6822,49.85,824.44,206.03,20.3011
609,kvm,0,7916,3958,11874,1979,33.67,691.38,101.36,20.0936
610,kvm,0,14500,7250,21750,3625,35.44,443.23,110.53,20.0795
611,kvm,0,18752,9376,28128,4688,32.7,466.97,128.38,20.1794
612,kvm,0,21416,10708,32124,5354,38.94,584.87,149.96,20.1813
613,kvm,0,23696,11848,35544,5924,35.08,648.79,170.26,20.3667
614,kvm,0,25349,12835,38184,6364,44.29,1039.07,189.26,20.2593
615,kvm,0,28348,14630,42978,7163,46.8,1138.64,196.36,20.2945
616,kvm,0,8608,4304,12912,2152,26.62,274.61,93.08,20.108
617,kvm,0,13424,6712,20136,3356,30.91,407.9,119.62,20.1436
618,kvm,0,18416,9208,27624,4604,35.26,417.75,130.6,20.1544
619,kvm,0,20880,10440,31320,5220,41.61,485.79,154.05,20.2528
620,kvm,0,23504,11752,35256,5876,41.56,655.6,170.62,20.2136
621,kvm,0,26008,13004,39012,6502,40.73,1200.04,185.27,20.2795
622,kvm,0,26440,13220,39660,6610,48.3,846.93,212.46,20.2934
623,kvm,0,8228,4114,12342,2057,28.35,304.56,97.41,20.0968
624,kvm,0,14880,7440,22320,3720,32.85,385.88,107.75,20.0925
625,kvm,0,19196,9598,28794,4799,35.11,434.75,125.78,20.2326
626,kvm,0,21456,10728,32184,5364,40.22,640.13,149.83,20.1976
627,kvm,0,24536,12268,36804,6134,42.55,623.61,163.64,20.2548
628,kvm,0,26077,13205,39282,6547,36.47,682.61,184.03,20.2704
629,kvm,0,28804,14402,43206,7201,37.41,932.07,195.31,20.3447
630,docker,264230,0,52846,317076,26423,4.89,33.29,7.57,20.0211
631,docker,390130,0,78026,468156,39013,5.66,46.12,10.25,20.0526
632,docker,379910,0,75982,455892,37991,5.58,71.26,15.8,20.0852
633,docker,366850,0,73370,440220,36685,5.53,119.49,21.81,20.1273
634,docker,353010,0,70602,423612,35301,5.86,131.31,28.34,20.1651
635,docker,342030,0,68406,410436,34203,5.82,166.58,35.11,20.2188
636,docker,332480,0,66496,398976,33248,5.94,194.47,42.14,20.2509
637,docker,273640,0,54728,328368,27364,4.82,20.53,7.31,20.0206
638,docker,394310,0,78862,473172,39431,5.51,45.39,10.15,20.046
639,docker,383690,0,76738,460428,38369,5.67,109.76,15.64,20.0849
640,docker,368020,0,73604,441624,36802,5.54,103.83,21.75,20.1263
641,docker,354090,0,70818,424908,35409,5.75,144.43,28.26,20.1697
642,docker,343690,0,68738,412428,34369,5.87,156.78,34.94,20.2074
643,docker,333890,0,66778,400668,33389,5.93,185.22,41.96,20.2497
644,docker,291930,0,58386,350316,29193,4.79,19.09,6.85,20.021
645,docker,397230,0,79446,476676,39723,5.6,51.66,10.07,20.0507
646,docker,385740,0,77148,462888,38574,5.58,75.31,15.56,20.0878
647,docker,365850,0,73170,439020,36585,5.65,108.25,21.87,20.1262
648,docker,358130,0,71626,429756,35813,5.64,139.94,27.94,20.1738
649,docker,345370,0,69074,414444,34537,5.82,154.91,34.77,20.2166
650,docker,335030,0,67006,402036,33503,5.76,249.9,41.82,20.2511
651,docker,283010,0,56602,339612,28301,4.61,24.15,7.07,20.0211
652,docker,396920,0,79384,476304,39692,5.49,53.48,10.08,20.0475
653,docker,386320,0,77264,463584,38632,5.56,76.5,15.54,20.0824
654,docker,367400,0,73480,440880,36740,5.66,109.58,21.78,20.1183
655,docker,359050,0,71810,430860,35905,5.68,125.34,27.87,20.1651
656,docker,346570,0,69314,415884,34657,5.8,198.18,34.64,20.2055
657,docker,335770,0,67154,402924,33577,5.82,183.71,41.73,20.2557
658,docker,278330,0,55666,333996,27833,4.62,31.95,7.19,20.0216
659,docker,398540,0,79708,478248,39854,5.56,45.64,10.04,20.0469
660,docker,386390,0,77278,463668,38639,5.54,94.95,15.53,20.0816
661,docker,371710,0,74342,446052,37171,5.67,95.88,21.53,20.1244
662,docker,357110,0,71422,428532,35711,5.61,125.21,28.02,20.1753
663,docker,345090,0,69018,414108,34509,5.77,155.27,34.8,20.2088
664,docker,335920,0,67184,403104,33592,5.79,211.67,41.71,20.2511
665,docker,277030,0,55406,332436,27703,4.57,21.64,7.22,20.021
666,docker,397080,0,79416,476496,39708,5.35,56.54,10.07,20.0481
667,docker,385750,0,77150,462900,38575,5.56,98.3,15.56,20.086
668,docker,369720,0,73944,443664,36972,5.67,128.48,21.65,20.1179
669,docker,357730,0,71546,429276,35773,5.85,127.09,27.97,20.1617
670,docker,345350,0,69070,414420,34535,5.86,143.6,34.78,20.2035
671,docker,336790,0,67358,404148,33679,5.65,186.82,41.6,20.2546
672,docker,289220,0,57844,347064,28922,4.88,15.11,6.92,20.021
673,docker,395090,0,79018,474108,39509,5.48,48.04,10.13,20.0433
674,docker,387340,0,77468,464808,38734,5.64,73.47,15.49,20.0825
675,docker,371560,0,74312,445872,37156,5.63,99.42,21.54,20.1216
676,docker,358380,0,71676,430056,35838,5.77,150.27,27.92,20.166
677,docker,345270,0,69054,414324,34527,5.96,139.81,34.78,20.2096
678,docker,335850,0,67170,403020,33585,5.82,164.68,41.72,20.2501
679,docker,273420,0,54684,328104,27342,4.7,25.84,7.32,20.0245
680,docker,396770,0,79354,476124,39677,5.73,47.82,10.08,20.0518
681,docker,384220,0,76844,461064,38422,5.6,99.83,15.62,20.0796
682,docker,371380,0,74276,445656,37138,5.58,103.56,21.55,20.1212
683,docker,356750,0,71350,428100,35675,5.8,142.11,28.04,20.1595
684,docker,344620,0,68924,413544,34462,6.0,177.86,34.84,20.2085
685,docker,336150,0,67230,403380,33615,5.8,182.25,41.68,20.247
686,docker,277340,0,55468,332808,27734,4.82,24.48,7.21,20.0203
687,docker,395810,0,79162,474972,39581,5.37,51.63,10.11,20.0501
688,docker,386430,0,77286,463716,38643,5.65,72.33,15.53,20.0788
689,docker,371320,0,74264,445584,37132,5.65,103.49,21.55,20.1266
690,docker,358340,0,71668,430008,35834,5.86,134.85,27.92,20.1717
691,docker,345840,0,69168,415008,34584,5.73,169.21,34.72,20.2191
692,docker,335970,0,67194,403164,33597,5.76,173.9,41.7,20.2471
693,docker,279740,0,55948,335688,27974,4.66,19.96,7.15,20.0233
694,docker,398340,0,79668,478008,39834,5.7,43.99,10.04,20.0453
695,docker,385890,0,77178,463068,38589,5.7,74.14,15.55,20.0821
696,docker,371520,0,74304,445824,37152,5.79,125.48,21.54,20.1288
697,docker,358870,0,71774,430644,35887,5.68,119.75,27.88,20.1705
698,docker,346240,0,69248,415488,34624,5.96,164.28,34.68,20.2064
699,docker,335700,0,67140,402840,33570,5.88,159.96,41.74,20.2652
700,docker,31130,12452,6226,49808,3113,15.5,199.49,64.33,20.0512
701,docker,25350,10140,5070,40560,2535,14.4,666.46,158.32,20.1899
702,docker,25480,10192,5096,40768,2548,39.86,749.48,237.61,20.3715
703,docker,26480,10592,5296,42368,2648,44.63,1252.08,303.77,20.311
704,docker,31270,12508,6254,50032,3127,49.93,1158.72,322.39,20.2956
705,docker,39530,15743,7975,63248,3953,53.88,1175.96,306.14,20.3496
706,docker,45050,18020,9010,72080,4505,52.04,1437.68,312.66,20.3388
707,docker,13100,5240,2620,20960,1310,30.69,436.19,153.25,20.1131
708,docker,21540,8616,4308,34464,2154,38.16,575.19,186.48,20.1973
709,docker,27220,10888,5444,43552,2722,39.91,840.98,221.81,20.2733
710,docker,32560,13024,6512,52096,3256,36.27,733.84,246.79,20.2369
711,docker,39810,15924,7962,63696,3981,36.62,1079.29,252.44,20.2513
712,docker,46950,18780,9390,75120,4695,40.99,1115.85,257.17,20.3051
713,docker,55080,21952,11096,88128,5508,40.31,1188.97,255.01,20.3085
714,docker,13980,5592,2796,22368,1398,34.65,427.43,143.58,20.1059
715,docker,22920,9168,4584,36672,2292,20.54,508.84,174.98,20.1338
716,docker,28810,11524,5762,46096,2881,37.77,730.81,209.29,20.187
717,docker,36670,14572,7430,58672,3667,48.09,1106.84,219.29,20.2424
718,docker,47260,18904,9452,75616,4726,41.05,986.54,212.52,20.2439
719,docker,48440,19376,9688,77504,4844,43.51,1217.13,248.81,20.2616
720,docker,61270,24508,12254,98032,6127,45.54,1529.86,230.56,20.3881
721,docker,14400,5760,2880,23040,1440,33.62,400.08,139.29,20.1259
722,docker,23400,9360,4680,37440,2340,39.48,449.96,171.91,20.2201
723,docker,31380,12552,6276,50208,3138,25.27,676.22,192.24,20.2875
724,docker,37620,15048,7524,60192,3762,30.46,876.72,213.56,20.2076
725,docker,45170,18068,9034,72272,4517,42.52,2196.67,223.2,20.3541
726,docker,51670,20668,10334,82672,5167,53.67,846.31,233.51,20.3022
727,docker,59650,23860,11930,95440,5965,33.73,1291.06,236.17,20.3347
728,docker,14860,5944,2972,23776,1486,31.17,452.21,135.05,20.1368
729,docker,24020,9608,4804,38432,2402,39.13,488.05,166.9,20.135
730,docker,31150,12460,6230,49840,3115,37.25,576.99,193.59,20.1793
731,docker,38840,15536,7768,62144,3884,42.53,599.17,207.16,20.2589
732,docker,40500,16200,8100,64800,4050,35.9,805.36,247.6,20.2034
733,docker,53140,21256,10628,85024,5314,41.13,913.29,227.48,20.3155
734,docker,58440,23376,11688,93504,5844,48.61,964.72,240.68,20.3205
735,docker,7290,2916,1458,11664,729,33.53,130052.77,1925.83,140.427
736,docker,46540,18616,9308,74464,4654,19.99,222.61,86.15,20.0877
737,docker,30050,12020,6010,48080,3005,31.86,592.75,200.6,20.197
738,docker,37380,14952,7476,59808,3738,44.55,812.92,216.01,20.3371
739,docker,48400,19360,9680,77440,4840,36.06,848.88,207.28,20.2093
740,docker,53990,21596,10798,86384,5399,44.29,881.48,223.7,20.2934
741,docker,59600,23840,11920,95360,5960,47.97,1041.4,237.03,20.3681
742,docker,14670,5868,2934,23472,1467,33.44,393.85,136.65,20.1465
743,docker,24610,9844,4922,39376,2461,35.39,461.13,163.14,20.199
744,docker,30690,12276,6138,49104,3069,39.76,642.12,195.99,20.1238
745,docker,37630,15052,7526,60208,3763,44.21,582.86,213.51,20.1979
746,docker,46420,18474,9378,74272,4642,41.13,936.76,216.9,20.2992
747,docker,53580,21432,10716,85728,5358,45.86,852.81,224.75,20.2596
748,docker,59430,23772,11886,95088,5943,46.39,1013.84,236.62,20.301
749,docker,15270,6108,3054,24432,1527,31.96,378.57,131.41,20.1299
750,docker,23630,9452,4726,37808,2363,37.45,604.66,169.81,20.1793
751,docker,33090,13236,6618,52944,3309,44.41,673.48,182.25,20.2002
752,docker,38200,15280,7640,61120,3820,44.02,728.76,210.25,20.2395
753,docker,46640,18656,9328,74624,4664,44.95,774.94,215.47,20.2322
754,docker,51070,20335,10307,81712,5107,49.08,868.56,236.46,20.2993
755,docker,57500,23000,11500,92000,5750,38.95,1761.86,244.72,20.3283
756,docker,14600,5840,2920,23360,1460,34.94,360.03,137.4,20.1453
757,docker,24290,9716,4858,38864,2429,38.0,443.51,165.14,20.1326
758,docker,33420,13368,6684,53472,3342,32.71,562.13,180.03,20.1586
759,docker,37830,15132,7566,60528,3783,42.29,645.11,212.51,20.2199
760,docker,44360,17744,8872,70976,4436,41.12,860.56,226.37,20.2329
761,docker,51800,20720,10360,82880,5180,48.64,934.84,233.59,20.358
762,docker,58270,23308,11654,93232,5827,52.78,890.83,241.21,20.3136
763,docker,14760,5904,2952,23616,1476,30.78,374.27,136.01,20.1814
764,docker,24460,9784,4892,39136,2446,37.02,479.53,164.0,20.1307
765,docker,31490,12596,6298,50384,3149,44.96,681.64,191.33,20.2347
766,docker,37980,15192,7596,60768,3798,43.18,1421.54,211.36,20.1826
767,docker,44180,17672,8836,70688,4418,37.36,904.95,228.43,20.3356
768,docker,50050,20020,10010,80080,5005,37.02,956.39,241.22,20.2901
769,docker,59110,23644,11822,94576,5911,36.49,1111.62,237.76,20.2884
770,docker,0,11364,5682,17046,2841,23.0,215.28,70.6,20.1045
771,docker,0,18752,9724,28476,4746,20.73,315.27,84.55,20.2569
772,docker,0,22952,11476,34428,5738,26.88,461.26,104.79,20.1191
773,docker,0,27116,13558,40674,6779,26.79,1449.59,118.36,20.1611
774,docker,0,31001,15721,46722,7787,28.5,660.71,128.78,20.1971
775,docker,0,31820,15910,47730,7955,33.57,2668.62,151.36,20.2553
776,docker,0,34528,17264,51792,8632,37.88,1220.16,162.75,20.3092
777,docker,0,12192,6096,18288,3048,17.37,298.9,65.78,20.0813
778,docker,0,18733,9713,28446,4741,16.71,290.11,84.55,20.093
779,docker,0,24764,12382,37146,6191,25.88,334.94,97.26,20.1501
780,docker,0,27808,13904,41712,6952,26.44,483.38,115.71,20.2114
781,docker,0,31092,15546,46638,7773,25.77,1134.6,129.03,20.2082
782,docker,0,34219,17327,51546,8591,27.98,1293.91,141.01,20.5134
783,docker,0,34528,17264,51792,8632,27.74,1822.59,162.79,20.2819
784,docker,0,11288,5644,16932,2822,19.51,361.26,71.01,20.0726
785,docker,0,19228,9614,28842,4807,25.3,286.57,83.47,20.1161
786,docker,0,23144,11572,34716,5786,24.43,430.94,103.95,20.1367
787,docker,0,27952,13976,41928,6988,21.39,556.38,114.96,20.186
788,docker,0,30692,15346,46038,7673,31.87,756.92,130.67,20.1876
789,docker,0,33961,17183,51144,8524,28.24,1037.23,141.13,20.2331
790,docker,0,34016,17008,51024,8504,32.12,1133.4,165.29,20.3047
791,docker,0,11356,5678,17034,2839,20.45,494.99,70.62,20.0824
792,docker,0,19236,9972,29208,4868,17.33,319.73,82.27,20.0708
793,docker,0,24388,12194,36582,6097,19.45,478.75,98.69,20.1277
794,docker,0,27832,13916,41748,6958,27.49,533.59,115.61,20.2177
795,docker,0,32272,16136,48408,8068,25.35,551.2,124.08,20.1741
796,docker,0,34212,17106,51318,8553,26.36,725.15,140.59,20.2322
797,docker,0,35711,18043,53754,8959,34.27,784.42,157.07,20.3193
798,docker,0,11380,5690,17070,2845,20.65,253.2,70.49,20.0869
799,docker,0,20028,10014,30042,5007,25.36,290.7,80.1,20.0972
800,docker,0,23920,11960,35880,5980,23.3,399.47,100.73,20.1561
801,docker,0,28684,14342,43026,7171,23.51,427.33,111.89,20.1827
802,docker,0,32052,16026,48078,8013,25.0,535.48,125.17,20.187
803,docker,0,33808,16904,50712,8452,25.95,561.02,142.65,20.2709
804,docker,0,35906,18148,54054,9009,32.66,943.06,156.28,20.341
805,docker,0,11980,5990,17970,2995,18.39,293.24,66.89,20.0745
806,docker,0,19776,9888,29664,4944,19.89,325.64,81.14,20.1255
807,docker,0,25596,12798,38394,6399,24.47,374.84,94.08,20.14
808,docker,0,29185,14879,44064,7344,25.67,719.48,109.26,20.1626
809,docker,0,31660,15830,47490,7915,31.58,501.76,126.86,20.2296
810,docker,0,33488,16744,50232,8372,23.17,655.65,143.84,20.2487
811,docker,0,34860,17430,52290,8715,30.91,2121.21,161.3,20.2892
812,docker,0,11948,5974,17922,2987,17.37,217.25,67.08,20.1102
813,docker,0,20164,10082,30246,5041,22.07,327.08,79.54,20.1208
814,docker,0,24652,12326,36978,6163,24.78,483.94,97.81,20.1742
815,docker,0,28880,14440,43320,7220,25.81,531.69,111.36,20.2192
816,docker,0,32168,16084,48252,8042,30.93,585.25,124.61,20.1841
817,docker,0,34948,17474,52422,8737,26.69,806.65,137.98,20.2852
818,docker,0,35144,17572,52716,8786,29.16,993.17,159.93,20.2964
819,docker,0,12068,6034,18102,3017,17.4,355.41,66.37,20.0797
820,docker,0,20884,10442,31326,5221,12.61,292.91,76.82,20.1059
821,docker,0,24328,12164,36492,6082,22.97,600.25,99.03,20.1731
822,docker,0,28981,14753,43734,7289,23.53,412.38,110.09,20.1671
823,docker,0,29379,14919,44298,7383,20.02,577.59,135.95,20.2118
824,docker,0,33737,17287,51024,8504,32.11,573.23,141.84,20.2912
825,docker,0,35700,17850,53550,8925,35.74,1019.19,157.48,20.3079
826,docker,0,11752,5876,17628,2938,21.37,355.77,68.29,20.109
827,docker,0,19855,10301,30156,5026,24.83,241.15,79.81,20.1216
828,docker,0,24872,12436,37308,6218,23.02,344.21,96.76,20.133
829,docker,0,28108,14054,42162,7027,23.69,417.65,114.07,20.1483
830,docker,0,31608,15804,47412,7902,28.38,627.0,127.07,20.2268
831,docker,0,33284,16642,49926,8321,27.38,1005.21,144.78,20.3877
832,docker,0,32264,16132,48396,8066,32.67,1839.14,173.85,20.2532
833,docker,0,11896,5948,17844,2974,21.63,273.04,67.32,20.063
834,docker,0,20464,10232,30696,5116,17.84,343.73,78.31,20.0917
835,docker,0,25104,12552,37656,6276,20.57,429.39,95.66,20.0858
836,docker,0,30605,16453,47058,7843,23.28,586.93,102.22,20.1464
837,docker,0,31744,15872,47616,7936,25.35,770.88,126.71,20.2766
838,docker,0,34396,17198,51594,8599,28.64,1026.25,140.01,20.2459
839,docker,0,35510,17950,53460,8910,26.75,1340.81,157.47,20.2813
